timestamp,user_id,name,location,access_type,status,system_id
2025-11-14 04:50:00,E135,Rahul Verma,Lab 2,Login,Failed,SYS027
2025-11-10 09:51:00,E226,Ananya Sharma,Admin Wing,Logout,Success,SYS015
2025-11-15 18:57:00,E138,Kavya Nair,Lab 2,Login,Success,SYS039
2025-11-12 17:53:00,E143,,Lab 2,Logout,Success,SYS045
2025-11-05 06:08:00,E128,,Lab 2,Logout,Success,SYS028
2025-11-06 10:18:00,E279,Vikram Nair,Admin Wing,Logout,Success,SYS044
2025-11-08 13:39:00,E192,Neha Pillai,Server Room,Logout,Success,SYS007
2025-11-15 04:40:00,E221,Aarav Nair,,,Success,SYS047
2025-11-03 18:19:00,E293,Priya Kapoor,Admin Wing,Login,,SYS031
2025-11-11 22:21:00,E227,Nikhil Kapoor,Lab 1,,Success,SYS016
2025-11-11 04:10:00,E235,Vikram Patel,Lab 2,Login,Success,SYS007
2025-11-08 01:06:00,E255,Rahul Bose,Lab 2,,Success,SYS044
2025-11-07 14:45:00,E161,Vikram Mehta,Lab 1,Logout,Success,SYS001
2025-11-14 17:24:00,E252,Ritesh Patel,Lab 2,Logout,Success,SYS025
2025-11-09 13:05:00,E297,Riya Kapoor,Lab 2,,Success,SYS047
2025-11-02 01:06:00,E275,Saanvi Roy,Lab 1,Login,Success,SYS009
2025-11-04 05:24:00,E149,Tanvi Mehta,,Login,Success,SYS033
2025-11-12 21:40:00,E120,Rahul Rao,Lab 1,Login,Success,SYS007
2025-11-09 15:47:00,E137,Rhea Joshi,,Login,Success,SYS011
2025-11-02 16:35:00,E128,Aditya Dutta,Admin Wing,,Success,SYS046
2025-11-08 03:35:00,E102,Priya Bose,Admin Wing,Login,Success,SYS027
2025-11-05 18:53:00,E261,Meera Pillai,Lab 2,Logout,Success,SYS044
2025-11-07 14:09:00,E249,,Storage,Login,Success,SYS024
2025-11-11 13:12:00,E181,Ishan Pillai,,Logout,Success,SYS034
2025-11-10 20:52:00,E246,Kavya Bhatia,Server Room,Logout,Success,SYS038
2025-11-03 23:25:00,E139,,Storage,Logout,Success,SYS011
2025-11-15 03:13:00,E184,Ishan Bhatia,Lab 2,Login,Success,SYS001
2025-11-01 06:20:00,E134,Rahul Singh,Lab 2,Login,Success,SYS042
2025-11-03 21:13:00,E265,Kavya Nair,Lab 2,Logout,Success,SYS046
2025-11-15 14:30:00,E228,Karan Joshi,,Login,Success,SYS030
2025-11-03 04:53:00,E237,Karan Malik,Lab 1,Login,Success,SYS048
2025-11-01 19:17:00,E130,,Server Room,Login,Success,
2025-11-10 12:37:00,E114,Ananya Pillai,Lab 2,Login,Success,SYS032
2025-11-01 01:32:00,E294,Meera Verma,Lab 1,Login,Success,SYS001
2025-11-05 14:21:00,E262,Nikhil Dutta,Admin Wing,Login,Success,SYS019
2025-11-11 06:23:00,E217,Nikhil Malik,Lab 2,Login,Success,SYS025
2025-11-10 04:30:00,E245,Aditya Mehta,Lab 2,Login,,SYS030
2025-11-06 21:48:00,E283,Rhea Khan,Lab 2,Login,Failed,SYS001
